regione;residenti;superficie;n_comuni;n_province
Lombardia;10060574.00;23863.65;1.506;12
Lazio;5879082.00;17232.29;378;5
Campania;5801692.00;13670.95;550;5
Sicilia;4999891.00;25832.39;390;9
Veneto;4905854.00;18345.35;563;7
Emilia-Romagna;4459477.00;22452.78;328;9
Piemonte;4356406.00;25387.07;1.181;8
Puglia;4029053.00;19540.9;257;6
Toscana;3729641.00;22987.04;273;10
Calabria;1947131.00;15221.9;404;5
Sardegna;1639591.00;24100.02;377;5
Liguria;1550640.00;5416.21;234;4
Marche;1525271.00;9401.38;228;5
Abruzzo;1311580.00;10831.84;305;4
Friuli Venezia Giulia;1215220.00;7924.36;215;4
Trentino-Alto Adige;1072276.00;13605.5;282;2
Umbria;882015.00;8464.33;92;2
Basilicata;562869.00;10073.32;131;2
Molise;305617.00;4460.65;136;2
Valle d'Aosta;125666.00;3260.9;74;1